AGRN	MAP4K2
DSCAML1	TDRKH
DSCAML1	DNMT3A
DSCAML1	TTN-AS1
DSCAML1	PHYKPL
DSCAML1	PRR5L
DSCAML1	POU2F3
DSCAML1	SLX4IP
IL10RA	CSNK1A1L
IL10RA	AL136295.5
SCN2B	AC080162.1
PHLDB1	SCARA3
AP002954.1	FAM217A
AP002954.1	AL139393.2
AP003392.4	AARS2
CCDC84	AC012636.1
CCDC84	AL024508.2
CCDC84	OCRL
CCDC84	AC037459.2
CCDC84	ZW10
CCDC84	AL138963.1
CCDC84	L2HGDH
CCDC84	AC011511.1
RPS25	LAMTOR5
RPS25	DDX18
RPS25	NPM1
RPS25	ELOC
RPS25	SMIM27
RPS25	IFI27L2
RPS25	RPL23A
RPS25	RPL27
H2AFX	C1orf226
H2AFX	ZCCHC3
HINFP	CAPN10-DT
MCAM	NR4A2
MCAM	IRAK1BP1
AP003390.1	AL109910.1
ARHGEF12	DNMBP
GRIK4	OMG
AP004147.1	EMC10
SORL1	SCRN1
BLID	NAGA
AP000755.2	AP000755.1
CLMP	DNAH9
SCN3B	HPCAL4
SCN3B	GNG2
ZNF202	RPIA
VWA5A	NMI
VWA5A	PROS1
NRGN	FAM49A
AP000866.1	AC023632.2
HEPN1	ORMDL1
HEPN1	AC093668.2
HEPN1	RNH1
PKNOX2	LASP1
EI24	DOLPP1
EI24	CD2BP2
AP000842.2	DDX25
AP001993.1	IL1RL2
AP001993.1	LY86
AP001993.1	AP002991.1
AP001993.1	CBFA2T3
AP001993.1	AC004805.1
AP001993.1	MYL9
AP003481.1	TIMD4
AP003481.1	P2RY8
AP003481.1	SLC16A6
AP003481.1	PTGIS
ARHGAP32	CTSV
ARHGAP32	ADARB1
TMEM45B	MCHR2-AS1
TMEM45B	SERPINE1
TMEM45B	AC008060.3
TMEM45B	AC105031.2
TMEM45B	AC107973.1
TMEM45B	CLEC4C
TMEM45B	CIITA
TMEM45B	UPB1
AP002986.1	C6orf52
AP003486.1	SNX19
NTM	AP003025.2
NTM	AP003025.1
AP003025.2	AP003025.1
AP003025.2	AP000844.2
OPCML	CACNA1C
OPCML	HS3ST4
THYN1	AL021997.3
DIP2C	OSCP1
DIP2C	NFASC
DIP2C	KCNK3
DIP2C	HDAC4
DIP2C	EAF1
DIP2C	TEC
DIP2C	IRF2
DIP2C	SLC22A23
DIP2C	HIVEP1
DIP2C	HIVEP2
DIP2C	C6orf99
DIP2C	ELMO1
DIP2C	GRB10
DIP2C	AC016831.7
DIP2C	BHLHE22
DIP2C	GALNT18
DIP2C	AP003481.1
DIP2C	SGMS1
DIP2C	AL353719.1
DIP2C	CTBP2
DIP2C	DIP2B
DIP2C	CLMN
DIP2C	PRC1
DIP2C	AC010601.1
DIP2C	ARHGAP17
DIP2C	AC027045.2
DIP2C	MSI2
DIP2C	RPTOR
DIP2C	AL136531.2
DIP2C	PHACTR3
DIP2C	AC020911.1
DIP2C	TRPM4
DIP2C	ZNF749
DIP2C	PIWIL3
DIP2C	DYRK1A
AL358216.1	DLGAP1-AS1
ADARB2	ADARB2-AS1
KLF6	LMNA
KLF6	UCHL3
AKR1E2	AC010132.4
AL355303.1	CDC25C
AL355303.1	AL513123.1
AL355303.1	TP53TG1
AL355303.1	AP001458.2
AL355303.1	AC092131.1
ANKRD16	KMT5C
FBH1	TBC1D16
IL15RA	KPNA7
IL15RA	AC021736.1
PFKFB3	ASL
PFKFB3	CHAF1A
AL137145.2	CD81-AS1
AL137145.2	AC010616.1
AL137145.1	AC000058.1
AL137145.1	RAD21L1
PRKCQ	DHRS11
SFMBT2	TANC1
SFMBT2	FAM135B
SFMBT2	ZADH2
SFMBT2	BMP7
AL583859.2	SLCO4A1
CELF2	GRIA1
CELF2	PTPRZ1
CELF2	DENND3
CELF2	RAB27B
CAMK1D	NPAS2
CAMK1D	OSBPL10
CAMK1D	HRH2
CAMK1D	LRFN2
CAMK1D	SORCS3
CAMK1D	CDH22
CCDC3	ENDOU
AL157392.5	ABHD14A-ACY1
AL157392.5	AL391684.1
AL157392.5	AC010809.1
AC069544.1	ZNF252P-AS1
FAM171A1	SYNJ2
FAM171A1	KCNQ1OT1
AL607028.1	FAT2
HACD1	ADA
STAM-AS1	AL121672.2
CACNB2	GABRG1
CACNB2	CDH12
CACNB2	FAM153B
CACNB2	ZNF391
CACNB2	SLC16A10
CACNB2	NCR3LG1
CACNB2	PRMT8
CACNB2	GLS2
CACNB2	RFX4
PLXDC2	LRRC7
PLXDC2	HCN3
PLXDC2	FAT4
PLXDC2	PDGFRB
NEBL	OSBPL3
NEBL	STRIP2
PIP4K2A	PNO1
PIP4K2A	HADH
PIP4K2A	WDR55
PIP4K2A	AFDN
PIP4K2A	SLC35G5
PIP4K2A	DLG5
GAD2	DLX6-AS1
MKX	DNAJC5G
MKX	LY6E-DT
MKX	TRIM22
MKX	UBE2Q2L
ZNF438	ST7
ZNF438	RIPK2
ARHGAP12	KBTBD2
ARHGAP12	MAMLD1
ARHGAP12	LDLRAD3
CCDC7	AC016907.2
NRP1	TRAF5
CCNY	PPP1R12B
CCNY	SGCD
CCNY	METTL27
CCNY	SLC25A13
CCNY	CSGALNACT2
CCNY	TRAF3
CCNY	CPEB1
CCNY	NATD1
CCNY	BTBD17
CCNY	B4GALT5
CCNY	MCM5
CCNY	AC007325.4
AL117336.3	OTUD3
AL117336.3	CCDC28B
AL117336.3	PXYLP1
AL117336.3	CD4
AL117336.3	ALOX5AP
AL117336.3	RPGRIP1
AL117336.3	KNL1
AL117336.3	HP
AL117336.3	ZNF337
AL132657.1	AC074011.1
AL132657.1	SPAAR
AL132657.1	AP003498.1
AL132657.1	LINC01982
ZNF248	ZC3H6
ZNF248	CNPY1
ZNF248	AC097347.1
ZNF248	GABPB1-AS1
RET	BAALC-AS2
RET	C1R
RET	DNM1P35
ZNF32	AP002360.1
TMEM72-AS1	PCYOX1L
TMEM72-AS1	AC004834.1
TMEM72-AS1	RSPO4
TMEM72-AS1	TP53TG5
TMEM72-AS1	PEX11G
RASSF4	NNMT
ZNF22	AKIP1
ZNF22	ATXN7L3B
MARCH8	METAP1
NCOA4	ATXN7L3B
NCOA4	C12orf29
AL356056.1	NUTM2A-AS1
ZNF488	NSDHL
ARHGAP22	PHACTR1
WDFY4	GNMT
TMEM273	KLHDC8A
ERCC6	TFB2M
ERCC6	PAXIP1
ERCC6	NUDCD1
ERCC6	IL18BP
ERCC6	TMTC3
TIMM23B	AC026464.3
LINC00843	AC022400.6
SGMS1-AS1	SLC35G1
PRKG1	NHSL1
CSTF2T	MANEA
PCDH15	PCDH19
PCDH15	UBAC1
PCDH15	APBB1IP
PCDH15	FAM189A1
LINC00844	AC097534.2
LINC00844	PDGFRL
AL592430.1	AC068481.1
AL592430.1	AC025211.1
TMEM26	TMEM26-AS1
ZNF365	TIE1
ZNF365	YOD1
ZNF365	TM4SF19-AS1
ZNF365	RAB23
ZNF365	AL359715.1
ZNF365	NUDT18
ZNF365	GPR19
ZNF365	TNFSF13B
ZNF365	IQCH
ZNF365	ADAMTSL3
ZNF365	ZNF615
ADO	SLITRK2
ADO	MEX3C
AC024600.1	AC105389.2
AC024600.1	NCF1
CTNNA3	LINC00882
CTNNA3	C1QTNF3-AMACR
CTNNA3	KIF6
CTNNA3	AL589740.1
CTNNA3	PRTFDC1
CTNNA3	AC090517.4
MYPN	CFAP99
HKDC1	CRLF2
HKDC1	AC138904.3
TSPAN15	NQO2
PPA1	OLFML2B
PPA1	CHIT1
PPA1	UPP2
PPA1	DHX16
PPA1	PGRMC1
PPA1	SLC25A37
PPA1	CYB561A3
PPA1	AL049830.3
PPA1	AC009690.1
PPA1	PQLC1
NPFFR1	GOLPH3L
NPFFR1	CCNI2
NPFFR1	PPA1
VSIR	SLC6A9
VSIR	CEBPD
CHST3	ADCY3
CHST3	DCAF13
CHST3	PHF19
CHST3	RAB31
CHST3	BCL2L1
CHST3	BCR
CHST3	TOB2
SPOCK2	GPRIN1
ANAPC16	SLC16A1
ANAPC16	PFN4
ANAPC16	NMD3
ANAPC16	ARSK
ANAPC16	IL13RA1
ANAPC16	CXorf56
ANAPC16	BNIP3L
ANAPC16	DEAF1
ANAPC16	P2RX7
ANAPC16	SGSH
ANAPC16	NAPSA
ANAPC16	FAM118A
DDIT4	NPTX2
DDIT4	NDRG1
DDIT4	BNIP3
DDIT4	MT3
OIT3	AC003991.1
P4HA1	HIF1A-AS2
CHCHD1	COMMD8
CAMK2G	KIF21B
KAT6B	EML4
KAT6B	ABCA1
KAT6B	AP000766.1
KAT6B	AOC3
KAT6B	SHLD1
KAT6B	PHLDB3
RPS24	PRR13
RPS24	WRB
ZMIZ1	UBTD1
ZMIZ1	FGF22
AL132656.2	PIH1D2
AL135925.1	AC012306.2
AL135925.1	MANEA-DT
AL135925.1	CHCHD7
AL135925.1	AC132192.2
AL135925.1	AC025580.3
TSPAN14	CHRM5
SH2D4B	C1QTNF12
NRG3	AGBL4
NRG3	DPP10
NRG3	PDZRN3
NRG3	KCNQ5
NRG3	FRMPD4
NRG3	CSGALNACT1
NRG3	MMP16
NRG3	CELF2
NRG3	FAM155A
NRG3	CBLN2
GRID1	IQSEC1
GRID1	JAZF1
GRID1	COBL
GRID1	NEO1
GRID1	TRAPPC10
LDB3	PADI2
LDB3	TESK2
LDB3	AL591895.1
LDB3	FAM53A
LDB3	FAM111A-DT
LDB3	AL358790.1
LDB3	DMBT1
LDB3	AC008050.1
LDB3	SLC13A3
AC067750.1	AC090510.3
SNCG	HPCA
PAPSS2	SPON2
RNLS	KIAA0825
RNLS	CALN1
RNLS	GAS1RR
RNLS	AC068025.1
RNLS	TASP1
RNLS	PPP5D1
IFIT2	TMEM229A
IFIT3	AC104170.2
IFIT3	LHX4
IFIT3	AL606534.1
IFIT3	AC010894.3
IFIT3	CPO
IFIT3	AC139720.1
IFIT3	AC114939.1
IFIT3	NBAT1
IFIT3	BX890604.1
IFIT3	AC022872.1
IFIT3	FSD2
IFIT3	AC009120.4
IFIT3	AP000962.1
AL157400.3	TMEM9B-AS1
AL365434.2	AC096588.1
AL365434.2	CCDC152
FFAR4	MAS1
FFAR4	GYG2
FFAR4	CA8
RBP4	OCIAD2
RBP4	CTXN3
RBP4	FABP7
RBP4	HEY1
RBP4	CALB1
LGI1	MCF2
TBC1D12	UNC5B
TBC1D12	PCSK6
SORBS1	HOXD1
SORBS1	SPATS2L
SORBS1	ST3GAL1
SORBS1	AL591222.1
SORBS1	PDCL
SORBS1	TPM1
SORBS1	ZIM2
ENTPD1	CCDC178
ENTPD1-AS1	STX18-AS1
ENTPD1-AS1	RFX2
ENTPD1-AS1	ZNF491
AL365273.2	WDR12
AL365273.2	AC131934.1
ZNF518A	CKAP2
ZNF518A	EPOP
OPALIN	SLC7A11
OPALIN	PTN
PIK3AP1	MCTP2
SLIT1	VIPR1
AL355490.2	AL359915.1
PGAM1	PSMD2
PGAM1	PELI3
GOLGA7B	OBSL1
HPSE2	ALDH1A1
GOT1	POLR3F
SLC25A28	LINC00884
COX15	ZNF707
DNMBP-AS1	SH2D4B
DNMBP-AS1	AL034550.2
PKD2L1	LPAR2
SCD	FASN
MRPL43	ASPRV1
MRPL43	SUOX
MRPL43	ISCA2
MRPL43	NME3
MRPL43	AC074138.1
MRPL43	AC010326.2
POLL	ASB13
POLL	ACVR1B
POLL	PEX11A
POLL	PEMT
POLL	PGAP3
FBXW4	AC139887.2
FBXW4	STX18
FBXW4	FARS2
FBXW4	KSR1
CUEDC2	AP001816.1
CUEDC2	COMMD9
TRIM8	TMEM241
BORCS7-ASMT	CRY1
BORCS7-ASMT	DIO2
BORCS7-ASMT	KCNK15-AS1
NEURL1-AS1	CMTM2
NEURL1	SLC25A25
SH3PXD2A	CTDSPL
SH3PXD2A	FLNB
SH3PXD2A	PPP2R2C
SH3PXD2A	FRAT1
SH3PXD2A	FAM222A
SH3PXD2A	DAPK2
SH3PXD2A	ZNF208
SH3PXD2A	MYH9
SH3PXD2A	DIP2A
GSTO2	GVQW2
ITPRIP	RAMP2-AS1
SORCS1	COL24A1
SORCS1	COL21A1
SORCS1	AC004852.2
SORCS1	RGS20
SORCS1	HUNK
RBM20	EXPH5
RBM20	AC020911.2
PDCD4	CCDC61
TECTB	TTC39A
TECTB	RGPD4
TECTB	AC093802.1
TECTB	LINC01967
TECTB	IFT57
TECTB	AC004704.1
TECTB	LINC02365
TECTB	ITK
TECTB	BMP6
TECTB	AL445430.1
TECTB	NPSR1
TECTB	KCP
TECTB	RAB19
TECTB	SHOX
TECTB	RPL36A-HNRNPH2
TECTB	LINC01592
TECTB	AL162725.2
TECTB	AL353616.2
TECTB	GFI1B
TECTB	AC069287.1
TECTB	OR9Q1
TECTB	AP001528.1
TECTB	MMP20
TECTB	FLI1
TECTB	TEX49
TECTB	DAO
TECTB	OTX2-AS1
TECTB	AC087612.1
TECTB	ABCC6
TECTB	SPACA3
TECTB	LINC01524
TECTB	DNAAF3
TECTB	NLRP8
VTI1A	GDAP2
VTI1A	REN
VTI1A	C1orf35
VTI1A	EPC2
VTI1A	ATG16L1
VTI1A	SH3RF1
VTI1A	RAD50
VTI1A	LYRM4
VTI1A	PRIM2
VTI1A	UBE3D
VTI1A	CD99
VTI1A	SYT9
VTI1A	WDR25
VTI1A	AATF
VTI1A	MEOX1
VTI1A	CDH2
VTI1A	GALNT1
VTI1A	SDCBP2
VTI1A	PDCD5
ADRB1	GCNT4
ABLIM1	ARHGAP25
ATRNL1	LDB2
ENO4	PIGC
ENO4	LANCL1-AS1
ENO4	AC069549.1
ENO4	NUDT13
ENO4	AL139353.2
ENO4	EPN2-AS1
AC005871.2	DDR2
AC005871.2	LINC02363
AC005871.2	RNF43
AC005871.2	AP000322.1
RAB11FIP2	VAMP4
RAB11FIP2	BVES
RAB11FIP2	ZNF19
CASC2	C8orf37-AS1
NANOS1	AC090970.2
GRK5	WDR49
GRK5	PITPNC1
BAG3	FLNA
BAG3	NFIL3
BAG3	DACT3-AS1
INPP5F	LNX2
LINC01561	AP000265.1
WDR11-AS1	AL513550.1
FGFR2	SLC22A15
FGFR2	SEPT10
FGFR2	SH3BP5
FGFR2	ZNRF2
FGFR2	DAB2IP
FGFR2	SLC4A8
FGFR2	AC073612.1
FGFR2	SYCP3
FGFR2	AC023908.3
FGFR2	AC027097.1
ATE1	GTPBP10
ATE1	AC254562.3
AL731566.2	AL731566.1
OAT	DUT
ZRANB1	CDCP1
ZRANB1	NMBR
ZRANB1	EHBP1L1
ZRANB1	SLC46A3
ZRANB1	AC005943.1
ZRANB1	AXL
CTBP2	ZSWIM6
CTBP2	NAPRT
CTBP2	PRDM15
ADAM12	ACSL1
LINC00601	AL078639.1
LINC00601	CDC37
DOCK1	AC004594.1
DOCK1	KIAA1147
FAM196A	AC005253.1
TCERG1L	ARHGAP15
TCERG1L	HYAL1
TCERG1L	DGKG
TCERG1L	RCN3
TCERG1L	FAM227A
PPP2R2D	SNIP1
PPP2R2D	AC064836.3
PPP2R2D	ZDHHC11B
PPP2R2D	MRPL13
PPP2R2D	C9orf64
PPP2R2D	LINC02550
PPP2R2D	CFAP58
PPP2R2D	SCARB1
PPP2R2D	C18orf21
PPP2R2D	SS18L1
JAKMIP3	FZD8
JAKMIP3	GPT2
INPP5A	PACRG-AS3
INPP5A	IGF1R
NKX6-2	CAMK2N1
NKX6-2	CITED4
NKX6-2	CDKN1C
NKX6-2	JUND
KNDC1	VWA5B2
CALY	ARHGDIG
CALY	GNAS
CALY	EEF1A2
SCART1	SP140
SCART1	EXTL3-AS1
SCART1	CYP2E1
SCART1	AL355075.4
SCART1	WBP2NL
SCART1	HMGN1
CYP2E1	TMEM231
IQSEC3	EIF4E1B
SLC6A12	AC007406.4
AC021054.1	AC018462.1
AC021054.1	AC005037.1
AC021054.1	AC006160.1
AC021054.1	AC093535.1
AC021054.1	AL035588.1
AC021054.1	AC009686.1
AC021054.1	AP003392.1
AC021054.1	AP003390.2
AC021054.1	MYH11
AC021054.1	NPIPB6
AC021054.1	AC016493.1
AC021054.1	AC016588.2
AC021054.1	LMNB2
ADIPOR2	ABHD5
ADIPOR2	LIFR
ADIPOR2	TSC22D3
ADIPOR2	CTBP2
ADIPOR2	BCL2
CACNA2D4	LTB4R
LRTM2	ID4
LRTM2	CHRDL1
LRTM2	HRK
LINC00940	INTS6-AS1
LINC00940	AL049780.2
LINC00940	TRADD
FKBP4	VAMP3
FKBP4	PNRC2
FKBP4	MCL1
FKBP4	ZNF281
FKBP4	IRF2BP2
FKBP4	SPR
FKBP4	SNX3
FKBP4	TSPYL4
FKBP4	TSPYL2
FKBP4	AJM1
FKBP4	EIF4G2
FKBP4	RAB3IL1
FKBP4	EIF1AD
FKBP4	CDK2AP2
FKBP4	TTC12
FKBP4	TPT1
FKBP4	AHSA1
FKBP4	TRIM69
FKBP4	UBALD1
FKBP4	ARRB2
FKBP4	TOP3A
FKBP4	MPPE1
FKBP4	PTOV1
FKBP4	ST13
FKBP4	HSF2BP
TEX52	SLC16A12-AS1
TEX52	GMEB2
FOXM1	CLK2
TEAD4	TGFBR3
TEAD4	FOSL2
C12orf4	SNTN
C12orf4	WDR53
C12orf4	MTERF3
C12orf4	TGDS
AC007848.1	MRLN
ANO2	VWF
CD9	TUBA1A
TNFRSF1A	FCGRT
MRPL51	NCBP2-AS2
MRPL51	AC027644.3
MRPL51	FIS1
MRPL51	AC004839.1
MRPL51	NDUFAF8
MRPL51	ANAPC11
GAPDH	ENO1
GAPDH	TPI1
AC006064.4	MRVI1
NOP2	DND1
NOP2	AC009021.1
NOP2	AL031587.3
CHD4	AC024060.1
CHD4	RTP4
CHD4	ZNF300
AC006064.2	BICRA-AS1
LPAR5	LEFTY1
ZNF384	INPP5E
ZNF384	SRSF6
MLF2	RNF187
MLF2	AP2M1
MLF2	NAT8L
MLF2	AC098829.1
MLF2	TMEM25
MLF2	VPS18
MLF2	RAD23A
MLF2	MAP1S
MLF2	HSPBP1
MLF2	SLC25A1
PTMS	EFNA3
PTMS	HSPB8
CD4	ALPK1
CD4	AL121900.2
CD4	EFCAB8
GPR162	DLX1
GPR162	DISP2
GPR162	FMNL1
GPR162	BAIAP2
GPR162	SPEF1
GPR162	CEBPB
GPR162	OPRL1
GPR162	C2CD4C
TPI1	PTTG1
TPI1	PGAM1
TPI1	PKM
TPI1	SLC9A5
TPI1	PIN1
ENO2	EHD3
ENO2	CSPG5
ENO2	CRIP2
ENO2	TMEM59L
ATN1	DVL1
ATN1	SLC4A2
ATN1	MED12
ATN1	PCNX3
C12orf57	DNAJB9
C12orf57	THYN1
C12orf57	CBR3
C1R	AEBP1
CLSTN3	TDRP
CLEC4C	ZAP70
CLEC4C	LINC02525
SLC2A3	AK4
SLC2A3	ARC
FAM66C	EFCAB12
FAM66C	BST1
FAM66C	SOX4
FAM66C	AC073529.1
FAM66C	TCEAL1
FAM66C	TMEM254-AS1
FAM66C	GAS2L3
FAM66C	ZSCAN30
FAM66C	SDCBP2-AS1
FAM66C	CA11
FAM66C	AC003006.1
KLRG1	C14orf93
LINC00987	AC010175.1
LINC00987	LINC02367
LINC02470	CLEC2A
CLEC12A	EPAS1
CLEC12A	LINC02147
CLEC12A	MSI1
KLRD1	C7orf61
KLRC4-KLRK1	AC068775.1
STYK1	CD53
STYK1	LINC00839
PRH1	KIAA1024
LINC01252	AC244131.2
BCL2L14	AP001172.1
DUSP16	PAG1
AC008115.2	KY
AC008115.2	VWA8-AS1
CDKN1B	ASF1A
CDKN1B	IFIT5
CDKN1B	SF3A1
GRIN2B	NXPH1
GRIN2B	KCNJ6
H2AFJ	SCUBE2
PTPRO	KBTBD12
PTPRO	AC093607.1
MGST1	F3
AC007529.2	EDARADD
PIK3C2G	AC005775.1
PIK3C2G	RABL2B
AEBP2	AC118553.1
AEBP2	LINC01816
AEBP2	AC104806.2
AEBP2	ZSCAN16
AEBP2	RRAS2
AEBP2	AL365434.2
AEBP2	OGFOD2
AEBP2	AL590787.1
AEBP2	AL110118.2
AEBP2	AC090515.2
AC024901.1	LINC02398
LDHB	CCDC34
LDHB	HPS6
LDHB	KRAS
SOX5	SH3RF3
SOX5	ADGRV1
SOX5	MPP7
BCAT1	AC022294.1
BCAT1	ETS1
AC087239.1	C10orf142
RASSF8-AS1	ADA2
SSPN	SLC9B2
ITPR2	AC023051.1
AC023051.1	AC022509.2
AC023051.1	AC024145.1
FAR2	LINC01344
AC009318.1	AC009318.4
OVCH1-AS1	AC008966.2
OVCH1-AS1	MAP3K8
OVCH1-AS1	EIF3C
OVCH1-AS1	ITGB2
DDX11-AS1	DDX11
DNM1L	KLHL21
DNM1L	CDCA8
DNM1L	GPATCH2
DNM1L	LINC01376
DNM1L	GPR39
DNM1L	ICA1L
DNM1L	HESX1
DNM1L	SAMMSON
DNM1L	GFM1
DNM1L	AC108866.1
DNM1L	ZFYVE16
DNM1L	DTWD2
DNM1L	ZCCHC10
DNM1L	AL353759.1
DNM1L	AL031777.3
DNM1L	STK31
DNM1L	LINC01006
DNM1L	RECQL4
DNM1L	AP000763.3
DNM1L	PBLD
DNM1L	LIMA1
DNM1L	ATG14
DNM1L	UBFD1
DNM1L	FBXL19-AS1
DNM1L	AC138150.1
DNM1L	TRAPPC5
DNM1L	SPACA6P-AS
DNM1L	ASCC2
SYT10	CYS1
C12orf40	KAZN-AS1
C12orf40	AL445426.1
C12orf40	CNGB3
C12orf40	LINC02237
SLC2A13	SLC44A5
SLC2A13	CHSY3
SLC2A13	PKNOX2
SLC2A13	NT5DC3
PDZRN4	ABHD12B
PRICKLE1	GLRA3
TMEM117	WWC2
TMEM117	AL512622.1
NELL2	PLPPR4
NELL2	LMO3
NELL2	FOXG1
NELL2	HLF
SLC38A1	DMRTA2
SLC38A1	AL592287.1
SLC38A1	CADM2
SLC38A1	ST3GAL6
SLC38A1	ABTB2
SLC38A2	PRKAA2
SLC38A2	SLC44A3
SLC38A2	KCND3
SLC38A2	AL450992.2
SLC38A2	MSTO1
SLC38A2	AL590560.2
SLC38A2	RAB7B
SLC38A2	SLC5A6
SLC38A2	PCYOX1
SLC38A2	NFKBIZ
SLC38A2	QDPR
SLC38A2	PRIMPOL
SLC38A2	AC008771.1
SLC38A2	SOWAHA
SLC38A2	NME5
SLC38A2	GMNN
SLC38A2	AC019205.1
SLC38A2	TPD52L1
SLC38A2	HECA
SLC38A2	AC074351.1
SLC38A2	PEG10
SLC38A2	CLCN4
SLC38A2	RDH10
SLC38A2	FAM189A2
SLC38A2	PGAP2
SLC38A2	VEGFB
SLC38A2	SIPA1
SLC38A2	C11orf65
SLC38A2	PDSS1
SLC38A2	GSTO2
SLC38A2	PPTC7
SLC38A2	AL590096.1
SLC38A2	SPRY2
SLC38A2	GRTP1
SLC38A2	LRP10
SLC38A2	TMX1
SLC38A2	LINC02324
SLC38A2	AC005476.2
SLC38A2	TMED8
SLC38A2	GOLGA8M
SLC38A2	AC051619.5
SLC38A2	FEM1B
SLC38A2	TRIM47
SLC38A2	COLEC12
SLC38A2	TRIP10
SLC38A2	AC007666.1
SLC38A2	Z93930.2
PCED1B	PLCH1
AC004466.1	TMEM129
TMEM106C	KCNK9
PFKM	EGR3
PFKM	SSTR1
AC024257.1	AC092979.1
AC089987.2	FUCA1
AC089987.2	AC026412.3
AC089987.2	KLRG2
AC089987.2	DNMBP-AS1
AC089987.2	MAMSTR
CACNB3	AIFM3
TUBA1B	UBE2T
TUBA1B	NUDT6
TUBA1B	TUBB
TUBA1B	TUBB4B
TUBA1B	DBP
TUBA1A	SLC25A3
TUBA1C	RRP12
AC125611.4	AKR7A3
AC125611.4	LINC02046
AC125611.4	AC079949.2
MCRS1	LRRC14
MCRS1	GUCD1
FMNL3	SNX30
TMBIM6	CERS2
TMBIM6	NCSTN
TMBIM6	DUSP7
TMBIM6	SYPL1
TMBIM6	RAP2C
TMBIM6	GAS1
TMBIM6	DAZAP2
TMBIM6	VAT1
TMBIM6	SYNGR2
TMBIM6	PRELID3B
TMBIM6	TRIM28
NCKAP5L	ANKRD13D
BCDIN3D	AL121574.1
AC131157.1	ZC3H12A
AC131157.1	AL356289.1
AC131157.1	AL355310.3
AC131157.1	ERICH2
AC131157.1	AADACL2-AS1
AC131157.1	AC113386.1
AC131157.1	KIF25-AS1
AC131157.1	AC004835.1
AC131157.1	IDO2
AC131157.1	COL22A1
AC131157.1	AL359636.1
AC131157.1	AC079917.1
AC131157.1	C11orf88
AC131157.1	MFAP5
AC131157.1	SLC26A10
AC131157.1	LINC01234
AC131157.1	RBPMS2
AC131157.1	ZFP1
AC131157.1	AC008109.1
AC131157.1	OR7D2
AC131157.1	AC008554.1
AC131157.1	FPR1
LINC02395	AL031727.2
LINC02395	AC096711.3
LINC02395	AL121829.2
AQP6	FRMD6-AS1
GPD1	GMNC
GPD1	SAMD12-AS1
LIMA1	GLIDR
LIMA1	AC023790.2
LIMA1	USP50
LIMA1	TMEM161A
DIP2B	HSPB7
DIP2B	CLCA2
DIP2B	AC099568.2
DIP2B	ANKRD35
DIP2B	FALEC
DIP2B	WDR64
DIP2B	PXK
DIP2B	IGSF11
DIP2B	MBNL1-AS1
DIP2B	TENT4A
DIP2B	MEGF10
DIP2B	ARL10
DIP2B	SYNGAP1
DIP2B	TAF8
DIP2B	SYNCRIP
DIP2B	RRAGD
DIP2B	AC211476.2
DIP2B	CYP51A1-AS1
DIP2B	FAM120AOS
DIP2B	DENND1A
DIP2B	ST6GALNAC4
DIP2B	PPP2R1B
DIP2B	STT3A-AS1
DIP2B	AC025164.1
DIP2B	FBXL19
DIP2B	AL117332.1
DIP2B	BCL2L1
DIP2B	ALKBH6
DIP2B	AC002470.1
DIP2B	CHODL-AS1
METTL7A	AL445524.1
METTL7A	KIAA1211
METTL7A	PGBD1
METTL7A	PDK4
METTL7A	LINC00891
METTL7A	LPL
METTL7A	MICAL2
METTL7A	OR7C1
LETMD1	CCDC191
DAZAP2	NRAS
DAZAP2	BROX
DAZAP2	PDE12
DAZAP2	MAT2B
DAZAP2	PTP4A1
DAZAP2	PSMD10
DAZAP2	ZNF275
DAZAP2	CDKN1B
DAZAP2	RAB5B
DAZAP2	POLR2M
DAZAP2	ZNF768
DAZAP2	ZNF319
DAZAP2	NORAD
SMAGP	ZNF835
SLC4A8	GALNT6
SCN8A	N4BP2
ATG101	ZNF622
ATG101	ISOC1
ATG101	SLC3A2
KRT8	AC117473.1
KRT8	DPYS
KRT8	AL607028.1
KRT8	AC012409.2
KRT8	LINC01754
AC068888.1	ATP6V1E2
AC068888.1	SOD3
AC068888.1	ENTR1
AC068888.1	LINC02256
AC068888.1	AC005786.3
AC068888.1	LIPE-AS1
TNS2	LINC02526
TNS2	AC100786.1
IGFBP6	CIART
MFSD5	PPP1R16A
PFDN5	IPO4
PFDN5	CCDC106
C12orf10	ABHD11
ATF7	HCG18
ATF7	LINC00235
ATF7	AC004596.1
ATF7	ZNF607
AC023509.2	AC110491.2
AC023509.2	RAI1-AS1
AC023509.2	ERVH48-1
ATP5MC2	SATB2
ATP5MC2	TAF4B
CALCOCO1	SEMA4A
CALCOCO1	TRIM67
CALCOCO1	MXD4
CALCOCO1	AC018638.7
CALCOCO1	CA3-AS1
CALCOCO1	AL133342.1
HNRNPA1	FAM177B
HNRNPA1	AC009975.1
HNRNPA1	AC084824.5
HNRNPA1	SARNP
HNRNPA1	HNRNPA1L2
HNRNPA1	TLNRD1
AC079313.2	LINC01605
GTSF1	PPAT
GTSF1	LINC00500
GTSF1	AC106886.5
GTSF1	AL121845.1
GTSF1	FFAR3
PPP1R1A	C9orf116
TESPA1	KCNAB2
TESPA1	KCNV1
AC122685.1	TPTE2
ITGA7	SMYD5
AC009779.3	AC012442.1
AC009779.3	AF111169.3
CD63	SH3BP5-AS1
CD63	PSMA7
